Objekt,Ebene,Bauteil,AKS Plan,AKS real,alte Türnummer ,Schlossernummer,Höhe [cm],Breite [cm],Zylinder [Z/B/WC/S] ,"Flügel [1,2,3]",Hersteller,Seriennummer,Feuerwider-stand,Brand-schutz-grenze [ja/nein],Flucht [ja/nein],Fluchtwegs-tür Nr,Panik [D/ St.K],Nottaster [ja/nein],Offenhalte-magnet [ja/nein],Taster für Schließung [ja/nein],Vorsicherung [ja/nein],SZ - Magnet [ja/nein],Bemerkung,AKS_Plan,AKS_real,Name,Nummer,StatusText,Status,CLASS,Raum2,Raum2[2],tow.tod::anmerkung,tow_tod_last::durchführung,tow_tod_last::pnl_Nme,pnl.tow.tod_last::f_Name,eAntrieb,exf01,haltemechanik,hersteller,klassifikation,lfd.,Plan Nr.,BAUTEIL,EBENE,MODUL,RAUMNR.,NR.,FLUCHT MÖGLICH,Unnamed: 8,BLINDZYL./ ROSETTE/ ABDECKUNG,ZYL.,PANIKSCHLOSS,VERSPERRT,VERSPERRBAR,Unnamed: 14,NOTTASTER,Unnamed: 16,MÄNGEL,Unnamed: 18,Bewertung,Unnamed: 20,übermittelt,OBJ.,GESCH.,Alte Türnummer,BSTüreALT,Raumnr.,AKS RAUM,UZ6/Steu.,KREIS,LFD. NR,INFO
420.0,01,A,0330.02,0330.02,keineNr.,Nichtvorhanden,200.0,60,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0330.02,42001A0330.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0330.03,0330.03,keineNr.,Nichtvorhanden,200.0,60,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0330.03,42001A0330.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0330.04,0330.04,keineNr.,Nichtvorhanden,200.0,60,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0330.04,42001A0330.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0330.05,0330.05,keineNr.,Nichtvorhanden,200.0,60,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0330.05,42001A0330.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0330.06,0330.06,keineNr.,Nichtvorhanden,200.0,60,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0330.06,42001A0330.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0330.07,0330.07,keineNr.,Nichtvorhanden,200.0,60,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0330.07,42001A0330.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0222.01,0222.01,keineNr.,Nichtvorhanden,200.0,95,B,1,KeinHersteller,Nichtlesbar,nein,nein,ja,1,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0222.01,42001A0222.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0628.01,keineNr.,keineNr.,Nichtvorhanden,200.0,90,B,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0628.01,42001AkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0222.02,0222.02,110A,420/1/5,200.0,100/65,Z/S,2,KeinHersteller,Nichtlesbar,nein,ja,ja,2,D/D,Nein,Nein,Nein,Nein,Nein,keineHerstellerangaben,42001A0222.02,42001A0222.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0416.02,0416.02,216,420/2/2,210.0,90/40,B,2,KeinHersteller,Nichtlesbar,nein,ja,ja,6,D/D,Nein,Ja,Ja,Nein,Nein,keineHerstellerangaben,42002A0416.02,42002A0416.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0714.01,0714.01,212A,420/2/3,210.0,100,B,1,KeinHersteller,Nichtlesbar,nein,ja,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,keineHerstellerangaben,42002A0714.01,42002A0714.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0515.01,0515.01,213,Nichtvorhanden,200.0,80,B,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0515.01,42002A0515.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0515.02,0515.02,keineNr.,Nichtvorhanden,200.0,70,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0515.02,42002A0515.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0515.03,0515.03,keineNr.,Nichtvorhanden,200.0,70,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0515.03,42002A0515.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0616.01,0616.01,214,Nichtvorhanden,200.0,90,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0616.01,42002A0616.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0715.01,0715.01,215,Nichtvorhanden,200.0,80,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0715.01,42002A0715.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0715.02,0715.02,keineNr.,Nichtvorhanden,200.0,70,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0715.02,42002A0715.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0214.01,0214.01,211,Nichtvorhanden,200.0,90,Z/S,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0214.01,42002A0214.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,KeineNr.,KeineNr.,keineNr.,Nichtvorhanden,200.0,95,B,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002AKeineNr.,42002AKeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0211.01,0211.01,207,Nichtvorhanden,200.0,80,Z,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0211.01,42002A0211.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,KeinNr.,KeinNr.,keineNr.,Nichtvorhanden,200.0,95,Z,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002AKeinNr.,42002AKeinNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0209.01,0209.01,205,Nichtvorhanden,200.0,80,Z,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0209.01,42002A0209.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0202.01,0202.01,200,Nichtvorhanden,200.0,90,B/S,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0202.01,42002A0202.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,02,A,0502.01,0502.01,201,Nichtvorhanden,200.0,90,Z/S,1,KeinHersteller,Nichtlesbar,nein,nein,nein,KeineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42002A0502.01,42002A0502.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
